"name","region","date","value"
"icu","QC","2020-03-15",0
"icu","QC","2020-03-16",0
"icu","QC","2020-03-17",4
"icu","QC","2020-03-18",4
"icu","QC","2020-03-19",6
"icu","QC","2020-03-20",10
"icu","QC","2020-03-21",13
"icu","QC","2020-03-22",20
"icu","QC","2020-03-23",31
"icu","QC","2020-03-24",35
"icu","QC","2020-03-25",43
"icu","QC","2020-03-26",50
"icu","QC","2020-03-27",57
"icu","QC","2020-03-28",72
"icu","QC","2020-03-29",78
"icu","QC","2020-03-30",82
"icu","QC","2020-03-31",82
"icu","QC","2020-04-01",96
"icu","QC","2020-04-02",107
"icu","QC","2020-04-03",130
"icu","QC","2020-04-04",154
"icu","QC","2020-04-05",164
"icu","QC","2020-04-06",164
"icu","QC","2020-04-07",181
"icu","QC","2020-04-08",196
"icu","QC","2020-04-09",186
"icu","QC","2020-04-10",146
"icu","QC","2020-04-11",156
"icu","QC","2020-04-12",166
"icu","QC","2020-04-13",161
"icu","QC","2020-04-14",190
"icu","QC","2020-04-15",187
"icu","QC","2020-04-16",196
"icu","QC","2020-04-17",193
"icu","QC","2020-04-18",183
"icu","QC","2020-04-19",198
"icu","QC","2020-04-20",201
"icu","QC","2020-04-21",199
"icu","QC","2020-04-22",207
"icu","QC","2020-04-23",227
"icu","QC","2020-04-24",208
"icu","QC","2020-04-25",204
"icu","QC","2020-04-26",210
"icu","QC","2020-04-27",217
"icu","QC","2020-04-28",222
"icu","QC","2020-04-29",213
"icu","QC","2020-04-30",218
"icu","QC","2020-05-01",222
"icu","QC","2020-05-02",216
"icu","QC","2020-05-03",217
"icu","QC","2020-05-04",218
"icu","QC","2020-05-05",213
"icu","QC","2020-05-06",222
"icu","QC","2020-05-07",206
"icu","QC","2020-05-08",203
"icu","QC","2020-05-09",198
"icu","QC","2020-05-10",192
"icu","QC","2020-05-11",184
"icu","QC","2020-05-12",194
"icu","QC","2020-05-13",190
"icu","QC","2020-05-14",191
"icu","QC","2020-05-15",185
"icu","QC","2020-05-16",182
"icu","QC","2020-05-17",176
"icu","QC","2020-05-18",178
"icu","QC","2020-05-19",183
"icu","QC","2020-05-20",175
"icu","QC","2020-05-21",171
"icu","QC","2020-05-22",167
"icu","QC","2020-05-23",170
"icu","QC","2020-05-24",179
"icu","QC","2020-05-25",181
"icu","QC","2020-05-26",182
"icu","QC","2020-05-27",177
"icu","QC","2020-05-28",171
"icu","QC","2020-05-29",165
"icu","QC","2020-05-30",170
"icu","QC","2020-05-31",161
"icu","QC","2020-06-01",158
"icu","QC","2020-06-02",155
"icu","QC","2020-06-03",144
"icu","QC","2020-06-04",129
"icu","QC","2020-06-05",127
"icu","QC","2020-06-06",126
"icu","QC","2020-06-07",119
"icu","QC","2020-06-08",117
"icu","QC","2020-06-09",117
"icu","QC","2020-06-10",114
"icu","QC","2020-06-11",107
"icu","QC","2020-06-12",102
"icu","QC","2020-06-13",85
"icu","QC","2020-06-14",82
"icu","QC","2020-06-15",77
"icu","QC","2020-06-16",72
"icu","QC","2020-06-17",65
"icu","QC","2020-06-18",62
"icu","QC","2020-06-19",62
"icu","QC","2020-06-20",61
"icu","QC","2020-06-21",57
"icu","QC","2020-06-22",56
"icu","QC","2020-06-23",52
"icu","QC","2020-06-24",50
"icu","QC","2020-06-25",48
"icu","QC","2020-06-26",45
"icu","QC","2020-06-27",43
"icu","QC","2020-06-28",45
"icu","QC","2020-06-29",38
"icu","QC","2020-06-30",33
"icu","QC","2020-07-01",32
"icu","QC","2020-07-02",31
"icu","QC","2020-07-03",27
"icu","QC","2020-07-04",26
"icu","QC","2020-07-05",25
"icu","QC","2020-07-06",26
"icu","QC","2020-07-07",27
"icu","QC","2020-07-08",27
"icu","QC","2020-07-09",24
"icu","QC","2020-07-10",22
"icu","QC","2020-07-11",20
"icu","QC","2020-07-12",21
"icu","QC","2020-07-13",21
"icu","QC","2020-07-14",20
"icu","QC","2020-07-15",20
"icu","QC","2020-07-16",16
"icu","QC","2020-07-17",15
"icu","QC","2020-07-18",18
"icu","QC","2020-07-19",17
"icu","QC","2020-07-20",15
"icu","QC","2020-07-21",16
"icu","QC","2020-07-22",14
"icu","QC","2020-07-23",12
"icu","QC","2020-07-24",12
"icu","QC","2020-07-25",10
"icu","QC","2020-07-26",7
"icu","QC","2020-07-27",8
"icu","QC","2020-07-28",9
"icu","QC","2020-07-29",18
"icu","QC","2020-07-30",15
"icu","QC","2020-07-31",18
"icu","QC","2020-08-01",17
"icu","QC","2020-08-02",18
"icu","QC","2020-08-03",21
"icu","QC","2020-08-04",19
"icu","QC","2020-08-05",19
"icu","QC","2020-08-06",19
"icu","QC","2020-08-07",23
"icu","QC","2020-08-08",22
"icu","QC","2020-08-09",21
"icu","QC","2020-08-10",21
"icu","QC","2020-08-11",20
"icu","QC","2020-08-12",23
"icu","QC","2020-08-13",25
"icu","QC","2020-08-14",25
"icu","QC","2020-08-15",25
"icu","QC","2020-08-16",25
"icu","QC","2020-08-17",27
"icu","QC","2020-08-18",26
"icu","QC","2020-08-19",25
"icu","QC","2020-08-20",23
"icu","QC","2020-08-21",16
"icu","QC","2020-08-22",14
"icu","QC","2020-08-23",12
"icu","QC","2020-08-24",12
"icu","QC","2020-08-25",12
"icu","QC","2020-08-26",15
"icu","QC","2020-08-27",17
"icu","QC","2020-08-28",17
"icu","QC","2020-08-29",16
"icu","QC","2020-08-30",18
"icu","QC","2020-08-31",20
"icu","QC","2020-09-01",20
"icu","QC","2020-09-02",20
"icu","QC","2020-09-03",18
"icu","QC","2020-09-04",17
"icu","QC","2020-09-05",18
"icu","QC","2020-09-06",18
"icu","QC","2020-09-07",15
"icu","QC","2020-09-08",14
"icu","QC","2020-09-09",12
"icu","QC","2020-09-10",12
"icu","QC","2020-09-11",16
"icu","QC","2020-09-12",19
"icu","QC","2020-09-13",19
"icu","QC","2020-09-14",23
"icu","QC","2020-09-15",26
"icu","QC","2020-09-16",29
"icu","QC","2020-09-17",30
"icu","QC","2020-09-18",31
"icu","QC","2020-09-19",31
"icu","QC","2020-09-20",30
"icu","QC","2020-09-21",28
"icu","QC","2020-09-22",30
"icu","QC","2020-09-23",31
"icu","QC","2020-09-24",33
"icu","QC","2020-09-25",45
"icu","QC","2020-09-26",41
"icu","QC","2020-09-27",37
"icu","QC","2020-09-28",41
"icu","QC","2020-09-29",43
"icu","QC","2020-09-30",46
"icu","QC","2020-10-01",49
"icu","QC","2020-10-02",60
"icu","QC","2020-10-03",64
"icu","QC","2020-10-04",62
"icu","QC","2020-10-05",67
"icu","QC","2020-10-06",62
"icu","QC","2020-10-07",68
"icu","QC","2020-10-08",67
"icu","QC","2020-10-09",73
"icu","QC","2020-10-10",72
"icu","QC","2020-10-11",75
"icu","QC","2020-10-12",85
"icu","QC","2020-10-13",80
"icu","QC","2020-10-14",83
"icu","QC","2020-10-15",87
"icu","QC","2020-10-16",85
"icu","QC","2020-10-17",88
"icu","QC","2020-10-18",92
"icu","QC","2020-10-19",100
"icu","QC","2020-10-20",94
"icu","QC","2020-10-21",101
"icu","QC","2020-10-22",99
"icu","QC","2020-10-23",93
"icu","QC","2020-10-24",97
"icu","QC","2020-10-25",93
"icu","QC","2020-10-26",91
"icu","QC","2020-10-27",89
"icu","QC","2020-10-28",78
"icu","QC","2020-10-29",81
"icu","QC","2020-10-30",82
"icu","QC","2020-10-31",84
"icu","QC","2020-11-01",81
"icu","QC","2020-11-02",85
"icu","QC","2020-11-03",81
"icu","QC","2020-11-04",82
"icu","QC","2020-11-05",77
"icu","QC","2020-11-06",78
"icu","QC","2020-11-07",77
"icu","QC","2020-11-08",76
"icu","QC","2020-11-09",82
"icu","QC","2020-11-10",84
"icu","QC","2020-11-11",86
"icu","QC","2020-11-12",85
"icu","QC","2020-11-13",82
"icu","QC","2020-11-14",89
"icu","QC","2020-11-15",87
"icu","QC","2020-11-16",100
"icu","QC","2020-11-17",100
"icu","QC","2020-11-18",101
"icu","QC","2020-11-19",96
"icu","QC","2020-11-20",99
"icu","QC","2020-11-21",103
"icu","QC","2020-11-22",98
"icu","QC","2020-11-23",96
"icu","QC","2020-11-24",93
"icu","QC","2020-11-25",90
"icu","QC","2020-11-26",90
"icu","QC","2020-11-27",93
"icu","QC","2020-11-28",92
"icu","QC","2020-11-29",94
"icu","QC","2020-11-30",98
"icu","QC","2020-12-01",99
"icu","QC","2020-12-02",99
"icu","QC","2020-12-03",97
"icu","QC","2020-12-04",96
"icu","QC","2020-12-05",102
"icu","QC","2020-12-06",105
"icu","QC","2020-12-07",114
"icu","QC","2020-12-08",121
"icu","QC","2020-12-09",113
"icu","QC","2020-12-10",123
"icu","QC","2020-12-11",129
"icu","QC","2020-12-12",123
"icu","QC","2020-12-13",122
"icu","QC","2020-12-14",125
"icu","QC","2020-12-15",128
"icu","QC","2020-12-16",134
"icu","QC","2020-12-17",141
"icu","QC","2020-12-18",142
"icu","QC","2020-12-19",146
"icu","QC","2020-12-20",146
"icu","QC","2020-12-21",137
"icu","QC","2020-12-22",142
"icu","QC","2020-12-23",146
"icu","QC","2020-12-24",138
"icu","QC","2020-12-25",133
"icu","QC","2020-12-26",149
"icu","QC","2020-12-27",150
"icu","QC","2020-12-28",148
"icu","QC","2020-12-29",152
"icu","QC","2020-12-30",165
"icu","QC","2020-12-31",167
"icu","QC","2021-01-01",166
"icu","QC","2021-01-02",179
"icu","QC","2021-01-03",188
"icu","QC","2021-01-04",194
