"name","region","sub_region_1","date","value"
"deaths","QC","Abitibi-Témiscamingue","2020-01-23",0
"deaths","QC","Bas-Saint-Laurent","2020-01-23",0
"deaths","QC","Capitale-Nationale","2020-01-23",0
"deaths","QC","Chaudière-Appalaches","2020-01-23",0
"deaths","QC","Côte-Nord","2020-01-23",0
"deaths","QC","Estrie","2020-01-23",0
"deaths","QC","Gaspésie-Îles-de-la-Madeleine","2020-01-23",0
"deaths","QC","Hors Québec","2020-01-23",0
"deaths","QC","Inconnu","2020-01-23",0
"deaths","QC","Lanaudière","2020-01-23",0
"deaths","QC","Laurentides","2020-01-23",0
"deaths","QC","Laval","2020-01-23",0
"deaths","QC","Mauricie et Centre-du-Québec","2020-01-23",0
"deaths","QC","Montréal","2020-01-23",0
"deaths","QC","Montérégie","2020-01-23",0
"deaths","QC","Nord-du-Québec","2020-01-23",0
"deaths","QC","Nunavik","2020-01-23",0
"deaths","QC","Outaouais","2020-01-23",0
"deaths","QC","Saguenay-Lac-Saint-Jean","2020-01-23",0
"deaths","QC","Terres-Cries-de-la-Baie-James","2020-01-23",0
"deaths","QC","Abitibi-Témiscamingue","2020-01-24",0
"deaths","QC","Bas-Saint-Laurent","2020-01-24",0
"deaths","QC","Capitale-Nationale","2020-01-24",0
"deaths","QC","Chaudière-Appalaches","2020-01-24",0
"deaths","QC","Côte-Nord","2020-01-24",0
"deaths","QC","Estrie","2020-01-24",0
"deaths","QC","Gaspésie-Îles-de-la-Madeleine","2020-01-24",0
"deaths","QC","Hors Québec","2020-01-24",0
"deaths","QC","Inconnu","2020-01-24",0
"deaths","QC","Lanaudière","2020-01-24",0
"deaths","QC","Laurentides","2020-01-24",0
"deaths","QC","Laval","2020-01-24",0
"deaths","QC","Mauricie et Centre-du-Québec","2020-01-24",0
"deaths","QC","Montréal","2020-01-24",0
"deaths","QC","Montérégie","2020-01-24",0
"deaths","QC","Nord-du-Québec","2020-01-24",0
"deaths","QC","Nunavik","2020-01-24",0
"deaths","QC","Outaouais","2020-01-24",0
"deaths","QC","Saguenay-Lac-Saint-Jean","2020-01-24",0
"deaths","QC","Terres-Cries-de-la-Baie-James","2020-01-24",0
"deaths","QC","Abitibi-Témiscamingue","2020-01-25",0
"deaths","QC","Bas-Saint-Laurent","2020-01-25",0
"deaths","QC","Capitale-Nationale","2020-01-25",0
